CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"20,100.00","3,900",3.80,3.90,"1,755",3.75,3.80,50.58,"2,83,756","89,331","89,331",
,-,-,-,-,-,-,-,-,-,-,"20,150.00",65,3.95,4.00,"3,510",3.95,4.00,50.01,"22,240","3,490","3,490",
,3,3,5,-,"2,446.15","-2,350.10",780,"2,459.00","2,555.20",780,"20,200.00","1,885",4.05,4.10,"1,495",-0.85,4.10,49.26,"5,00,087","21,689","1,72,187",
,-,-,-,-,-,-,780,"2,257.30","2,660.80",780,"20,250.00",715,4.10,4.20,"1,950",-0.80,4.15,48.43,"93,846","3,778","14,791",
,-,-,-,-,-,-,780,"2,208.35","2,458.65",780,"20,300.00","2,015",4.15,4.30,"3,120",-0.80,4.30,47.75,"1,78,898","7,746","15,996",
,-,-,-,-,-,-,780,"2,157.70","2,400.85",780,"20,350.00","1,755",4.45,4.55,650,-0.85,4.55,47.20,"49,577","1,338","2,631",
,-,-,-,-,-,-,780,"2,116.70","2,440.65",780,"20,400.00","1,235",4.70,4.85,65,-0.90,4.80,46.62,"1,43,526","14,556","19,482",
,-,-,-,-,-,-,780,"2,195.90","2,477.05",780,"20,450.00","1,755",4.80,4.90,455,-1.10,4.90,45.83,"45,860",774,"2,295",
,633,10,178,-,"2,174.55",-55.50,390,"2,196.35","2,209.70",260,"20,500.00","1,755",5.20,5.25,"1,885",-1.10,5.20,45.28,"4,55,063","34,310","1,05,872",
,1,-,-,-,"2,244.75",-,780,"2,035.75","2,267.10",780,"20,550.00",390,5.35,5.40,715,-1.60,5.15,44.30,"71,571","1,524","4,710",
,4,-,-,-,"2,161.60",-,780,"2,018.85","2,186.65",780,"20,600.00",780,5.45,5.55,"1,690",-1.70,5.45,43.72,"1,56,290","4,423","15,174",
,-,-,-,-,-,-,780,"1,889.85","2,153.65",780,"20,650.00","1,885",5.70,5.80,"1,560",-1.90,5.70,43.06,"78,565","2,301","5,167",
,2,-,-,-,"1,900.00",-,780,"1,922.65","2,053.45",780,"20,700.00",390,6.10,6.20,"5,200",-2.05,6.10,42.55,"2,08,230","12,594","22,566",
,2,-,-,-,"1,679.35",1.35,780,"1,852.90","2,011.30",780,"20,750.00","4,160",6.50,6.60,"2,795",-2.20,6.50,42.00,"87,710","2,234","5,309",
,2,-,-,-,"1,810.00",-,780,"1,822.05","1,959.55",780,"20,800.00","2,925",6.95,7.00,"9,295",-2.15,7.00,41.51,"2,57,355","16,841","30,617",
,2,-,-,-,"1,853.35",-,780,"1,794.55","1,917.00",780,"20,850.00",390,7.35,7.45,"3,120",-2.75,7.45,40.94,"93,514","5,645","8,992",
,5,1,1,-,"1,322.25",-377.75,130,"1,718.15","1,930.15",130,"20,900.00","1,560",7.95,8.10,"4,420",-2.75,7.95,40.39,"2,40,642","17,119","32,369",
,2,-,-,-,"1,659.05",-,780,"1,587.75","1,813.00",780,"20,950.00",910,8.70,8.75,260,-3.00,8.75,40.02,"1,08,705","7,400","9,639",
,"10,678",28,"2,458",-,"1,697.70",-34.95,195,"1,705.85","1,721.95",65,"21,000.00","2,535",9.55,9.75,130,-3.35,9.55,39.61,"7,87,085","39,896","1,32,653",
,5,-,-,-,"1,900.00",-,780,"1,552.35","1,805.35",780,"21,050.00","2,795",10.40,10.55,"2,470",-3.65,10.55,39.27,"1,03,590","5,435","7,570",
,12,-16,32,-,"1,611.05",337.95,780,"1,560.50","1,663.85",780,"21,100.00",65,11.30,11.40,65,-3.50,11.35,38.74,"2,03,546","14,723","23,030",
,4,1,2,-,"1,416.85",-110.25,780,"1,405.10","1,646.25",130,"21,150.00","1,170",12.35,12.40,65,-4.10,12.45,38.35,"1,17,189","4,551","7,095",
,19,5,37,-,"1,481.90",-250.00,130,"1,506.40","1,566.65",780,"21,200.00",390,13.35,13.45,65,-4.95,13.45,37.85,"3,45,008","13,653","29,129",
,8,7,19,-,"1,049.40",-330.00,130,"1,403.05","1,532.00",130,"21,250.00",390,14.65,14.80,"1,235",-5.25,14.70,37.42,"1,47,925","3,444","12,641",
,21,17,70,-,"1,377.10",-41.25,65,"1,406.95","1,443.10",780,"21,300.00",520,16.15,16.30,520,-5.75,16.30,37.10,"3,02,881","16,786","30,799",
,9,-,31,-,"1,309.00",-91.00,780,"1,320.45","1,402.00",780,"21,350.00",910,17.80,17.95,65,-6.45,17.95,36.72,"1,47,588","7,437","12,931",
,188,175,319,-,"1,316.25",-33.75,130,"1,317.80","1,329.50",130,"21,400.00",260,19.75,19.90,"2,925",-7.10,19.85,36.38,"3,53,713","22,034","30,664",
,36,18,100,-,"1,249.30",-126.35,780,"1,226.20","1,326.20",780,"21,450.00","2,275",22.00,22.15,845,-8.35,22.15,36.11,"1,76,279","6,744","14,308",
,"4,103",764,"7,067",-,"1,224.45",-27.80,260,"1,224.35","1,234.05",260,"21,500.00",65,24.50,24.70,260,-8.40,24.70,35.83,"7,85,302","38,337","98,682",
,114,102,224,28.08,"1,195.40",-133.10,780,"1,133.65","1,189.30",130,"21,550.00",715,27.05,27.40,"1,105",-9.00,27.45,35.54,"1,87,470","-5,148","7,401",
,423,400,"1,581",-,"1,128.75",-30.35,130,"1,124.55","1,173.90",780,"21,600.00","1,365",29.80,30.20,"1,235",-9.60,29.80,35.04,"4,35,854","10,771","42,523",
,171,130,429,-,"1,077.30",-38.70,780,"1,069.55","1,094.35",130,"21,650.00",390,33.15,33.60,"1,300",-10.20,33.60,34.88,"1,79,854","6,024","13,923",
